course_id,course_title,benchmark_split,query,expected_prerequisite_ids,expected_prerequisite_titles,source_file,source_url,source_accessible,query_scope_valid,expected_set_status,corrected_prerequisite_ids,reviewer_confidence,reviewer_notes,reviewer_id,review_date
045682,Programming Fundamentals,calibration,Which course IDs are listed in the prerequisite section for 045682?,,,output/Study Type/Courses/045682_045682 - Programming Fundamentals.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=045682,,,,,,,,
050436,Big Data Management,calibration,Which course IDs are listed in the prerequisite section for 050436?,004083|004316|056579,ISYS1055 Database Concepts (Course ID 004083)|COSC1295 Advanced Programming (Course ID 004316)|COSC3119 Algorithms and Analysis (Course ID 056579),output/Study Type/Courses/050436_050436 - Big Data Management.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=050436,,,,,,,,
050437,Big Data Processing,development,Which course IDs are listed in the prerequisite section for 050437?,004316|054137|004083,COSC1295 Advanced Programming (Course ID 004316)|COSC2820/COSC3015 Advanced Programming for Data Science (Course ID 054137)|ISYS1055 Database Concepts (Course ID 004083),output/Study Type/Courses/050437_050437 - Big Data Processing.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=050437,,,,,,,,
050438,Cloud Computing,test,Which course IDs are listed in the prerequisite section for 050438?,004316|054137,COSC1295 Advanced Programming (Course ID 004316)|COSC2820 Advanced Programming for Data Science (Course ID 054137),output/Study Type/Courses/050438_050438 - Cloud Computing.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=050438,,,,,,,,
050645,Applied Bayesian Statistics,development,Which course IDs are listed in the prerequisite section for 050645?,,,output/Study Type/Courses/050645_050645 - Applied Bayesian Statistics.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=050645,,,,,,,,
051637,Practical Data Science with Python,calibration,Which course IDs are listed in the prerequisite section for 051637?,,,output/Study Type/Courses/051637_051637 - Practical Data Science with Python.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=051637,,,,,,,,
051638,Social Media and Networks Analytics,development,Which course IDs are listed in the prerequisite section for 051638?,045682|051637|052878|054137,Programming Fundamentals|Practical Data Science with Python|Programming Fundamentals for Scientists|Advanced Programming for Data Science,output/Study Type/Courses/051638_051638 - Social Media and Networks Analytics.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=051638,,,,,,,,
052731,Data Wrangling,development,Which course IDs are listed in the prerequisite section for 052731?,,,output/Study Type/Courses/052731_052731 - Data Wrangling.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=052731,,,,,,,,
052878,Programming Fundamentals for Scientists,development,Which course IDs are listed in the prerequisite section for 052878?,,,output/Study Type/Courses/052878_052878 - Programming Fundamentals for Scientists.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=052878,,,,,,,,
052997,Programming Internet of Things,development,Which course IDs are listed in the prerequisite section for 052997?,004316|054137,Advanced Programming|Advanced Programming for Data Science,output/Study Type/Courses/052997_052997 - Programming Internet of Things.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=052997,,,,,,,,
053543,Engineering Mathematics,development,Which course IDs are listed in the prerequisite section for 053543?,053550,MATH2395 Introduction to Engineering Mathematics,output/Study Type/Courses/053543_053543 - Engineering Mathematics.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=053543,,,,,,,,
053550,Introduction to Engineering Mathematics,calibration,Which course IDs are listed in the prerequisite section for 053550?,,,output/Study Type/Courses/053550_053550 - Introduction to Engineering Mathematics.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=053550,,,,,,,,
053574,Artificial Intelligence Postgraduate Project,development,Which course IDs are listed in the prerequisite section for 053574?,004123|056577,COSC1125 Artificial Intelligence (Course ID: 004123)|COSC3117/3118/3149 Artificial Intelligence (Course ID: 056577),output/Study Type/Courses/053574_053574 - Artificial Intelligence Postgraduate Project.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=053574,,,,,,,,
053576,The AI Professional,calibration,Which course IDs are listed in the prerequisite section for 053576?,,,output/Study Type/Courses/053576_053576 - The AI Professional.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=053576,,,,,,,,
053577,Deep Learning,calibration,Which course IDs are listed in the prerequisite section for 053577?,053802,COSC2793/COSC3013 Computational Machine Learning (Course ID 053802),output/Study Type/Courses/053577_053577 - Deep Learning.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=053577,,,,,,,,
053578,Intelligent Decision Making,calibration,Which course IDs are listed in the prerequisite section for 053578?,056579|004302,COSC3120/COSC3119 Algorithms and Analysis (Course ID: 056579)|COSC2123/2203/2950/2988 Algorithms and Analysis (Course ID: 004302),output/Study Type/Courses/053578_053578 - Intelligent Decision Making.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=053578,,,,,,,,
053579,Programming Autonomous Robots,test,Which course IDs are listed in the prerequisite section for 053579?,004123|056577,COSC1125 Artificial Intelligence (Course ID: 004123)|COSC3117/3118/3149 Artificial Intelligence (Course ID: 056577),output/Study Type/Courses/053579_053579 - Programming Autonomous Robots.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=053579,,,,,,,,
053802,Computational Machine Learning,test,Which course IDs are listed in the prerequisite section for 053802?,,,output/Study Type/Courses/053802_053802 - Computational Machine Learning.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=053802,,,,,,,,
054074,IT Studio 1,development,Which course IDs are listed in the prerequisite section for 054074?,,,output/Study Type/Courses/054074_054074 - IT Studio 1.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=054074,,,,,,,,
054075,IT Studio 2,development,Which course IDs are listed in the prerequisite section for 054075?,,,output/Study Type/Courses/054075_054075 - IT Studio 2.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=054075,,,,,,,,
054079,Java Programming Bootcamp,calibration,Which course IDs are listed in the prerequisite section for 054079?,,,output/Study Type/Courses/054079_054079 - Java Programming Bootcamp.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=054079,,,,,,,,
054080,C++ Programming Bootcamp,calibration,Which course IDs are listed in the prerequisite section for 054080?,054079,COSC2801 Programming Bootcamp 1 (Course ID 054079),output/Study Type/Courses/054080_054080 - C Programming Bootcamp.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=054080,,,,,,,,
054081,Java Programming Studio,development,Which course IDs are listed in the prerequisite section for 054081?,054079,COSC2801 Java Programming Bootcamp (Course ID 054079),output/Study Type/Courses/054081_054081 - Java Programming Studio.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=054081,,,,,,,,
054137,Advanced Programming for Data Science,calibration,Which course IDs are listed in the prerequisite section for 054137?,045682|052878|054079,COSC2531 Programming Fundamentals (Course ID 045682)|COSC2752 Programming Fundamentals for Scientists (Course ID 052878)|COSC3055/COSC3054/COSC2801 Java Programming Bootcamp (Course ID 054079),output/Study Type/Courses/054137_054137 - Advanced Programming for Data Science.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=054137,,,,,,,,
054160,Discrete Mathematics,development,Which course IDs are listed in the prerequisite section for 054160?,,,output/Study Type/Courses/054160_054160 - Discrete Mathematics.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=054160,,,,,,,,
056557,Python Programming Bootcamp,development,Which course IDs are listed in the prerequisite section for 056557?,,,output/Study Type/Courses/056557_056557 - Python Programming Bootcamp.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=056557,,,,,,,,
056577,Artificial Intelligence,development,Which course IDs are listed in the prerequisite section for 056577?,056579|004302,COSC3119 Algorithms and Analysis (Course ID 056579)|COSC1285 Algorithms and Analysis (Course ID 004302),output/Study Type/Courses/056577_056577 - Artificial Intelligence.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=056577,,,,,,,,
056579,Algorithms and Analysis,test,Which course IDs are listed in the prerequisite section for 056579?,045682,Programming Fundamentals,output/Study Type/Courses/056579_056579 - Algorithms and Analysis.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=056579,,,,,,,,
056595,Agent-Oriented Programming and Design,test,Which course IDs are listed in the prerequisite section for 056595?,056579|004302,COSC3119 Algorithms and Analysis (Course ID 056579)|Unknown Course,output/Study Type/Courses/056595_056595 - Agent-Oriented Programming and Design.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=056595,,,,,,,,
056596,Evolutionary Computing,development,Which course IDs are listed in the prerequisite section for 056596?,,,output/Study Type/Courses/056596_056596 - Evolutionary Computing.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=056596,,,,,,,,
056597,Data Mining,test,Which course IDs are listed in the prerequisite section for 056597?,045682,COSC2531 Programming Fundamentals (Course ID: 045682),output/Study Type/Courses/056597_056597 - Data Mining.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=056597,,,,,,,,
056611,Computing Research and Project Preparation,development,Which course IDs are listed in the prerequisite section for 056611?,,,output/Study Type/Courses/056611_056611 - Computing Research and Project Preparation.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=056611,,,,,,,,
056617,Database Systems,calibration,Which course IDs are listed in the prerequisite section for 056617?,004083|056579|004302,ISYS2360 Database Concepts (Course ID 004083)|COSC3119 Algorithms and Analysis ( Course ID 056579)|COSC1285 Algorithms and Analysis (Course ID 004302),output/Study Type/Courses/056617_056617 - Database Systems.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=056617,,,,,,,,
056618,iPhone Software Engineering,development,Which course IDs are listed in the prerequisite section for 056618?,004316|054137,COSC1295 Advanced Programming (Course ID: 004316)|COSC2820 Adv Programming for Data Science (Course ID: 054137),output/Study Type/Courses/056618_056618 - iPhone Software Engineering.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=056618,,,,,,,,
056619,Mixed Reality,development,Which course IDs are listed in the prerequisite section for 056619?,056579|004302,COSC3119|COSC1285/2203,output/Study Type/Courses/056619_056619 - Mixed Reality.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=056619,,,,,,,,
056620,Games and Artificial Intelligence Techniques,development,Which course IDs are listed in the prerequisite section for 056620?,056579|004302|004316,COSC3119 Algorithms and Analysis (Course ID: 056579)|COSC1285/2203 Algorithms and Analysis (Course ID: 004302)|COSC1295 Advanced Programming (Course ID: 004316),output/Study Type/Courses/056620_056620 - Games and Artificial Intelligence Techniques.html,https://handbook.rmit.edu.au/ords/r/rmit/catalogue/course?p6_code=056620,,,,,,,,
